Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
색시한백치미,Veigar,TOP,13,3,2,4,2.8,149,0,0,0.11296436694465505,8514,6.45489006823351,17.16324638148611,12,7,1,0,0,0.009097801364670205,0.00530705079605762,0.0,0.000758150113722517,14.634146341463413,13461,460,12809,191,10.205458680818802,17.31006635461139,0.00530705079605762,24.137931034482758,0,0,0,0,2989,21,4446,0,0,5898,5898,11,0,2850,0,9,37,427,72,3,14,True
찌꾸기,Sylas,JUNGLE,12,8,2,13,8.4,7,41,16,0.00530705079605762,9964,7.55420773313116,20.08627988549772,20,4,2,3,2,0.015163002274450341,0.003032600454890068,0.001516300227445034,0.001516300227445034,24.390243902439025,15137,796,14208,132,11.476118271417741,19.46530528265007,0.01592115238817286,72.41379310344827,0,0,0,0,2989,21,4446,0,0,217,217,13417,0,12659,0,16,281,1912,36,4,16,True
뽀빠이 완딜,Yasuo,MIDDLE,15,9,5,0,1.6363636363636365,202,2,4,0.15314632297194844,12495,9.47308567096285,25.188485263879368,10,3,3,0,0,0.0075815011372251705,0.002274450341167551,0.0,0.002274450341167551,12.195121951219512,24531,23149,1341,40,18.598180439727066,31.545445193148502,0.006823351023502654,31.03448275862069,2,0,0,0,2989,21,4446,0,0,9008,9008,4609,0,16084,0,28,155,2039,160,2,24,True
내옆자리서폿,Sivir,BOTTOM,13,8,1,14,14.666666666666666,173,4,0,0.13115996967399546,12072,9.152388172858226,24.33576583477805,18,7,2,1,1,0.013646702047005308,0.00530705079605762,0.000758150113722517,0.001516300227445034,21.951219512195124,21231,18919,2072,239,16.09628506444276,27.301836325291912,0.016679302501895376,75.86206896551724,2,0,0,0,2989,21,4446,0,0,6086,6086,2164,0,4765,443,2,26,1062,38,2,17,True
별 수호자 정택구,Alistar,UTILITY,10,1,3,13,4.0,25,0,0,0.018953752843062926,6561,4.974222896133434,13.226222634358747,22,9,2,0,0,0.016679302501895376,0.006823351023502654,0.0,0.001516300227445034,26.82926829268293,3404,145,2764,493,2.580742987111448,4.377346844298133,0.01061410159211524,48.275862068965516,0,0,0,0,2989,21,4446,0,0,756,756,6051,4075,13554,0,25,86,448,93,2,14,True
펜타마려운야스오,Sett,TOP,12,3,4,1,0.8888888888888888,121,4,0,0.09173616376042457,7009,5.313874147081122,19.540005575689992,13,8,1,1,1,0.009855951478392721,0.006065200909780136,0.000758150113722517,0.000758150113722517,21.666666666666668,8378,6302,0,2075,6.351781652767248,20.686930541494853,0.003032600454890068,30.76923076923077,0,0,0,0,2989,21,4446,0,0,0,0,1043,0,16862,0,10,94,209,104,2,17,False
니얼굴따개비,Ekko,JUNGLE,12,2,4,3,1.1111111111111112,41,55,8,0.0310841546626232,7770,5.890826383623957,21.661555617507666,13,2,4,3,1,0.009855951478392721,0.001516300227445034,0.000758150113722517,0.003032600454890068,21.666666666666668,5787,832,4823,132,4.387414708112206,14.289241709671844,0.0037907505686125853,38.46153846153847,0,0,0,0,2989,21,4446,0,0,0,0,6360,0,11258,0,7,297,273,107,4,18,False
아무무는요정도,Ahri,MIDDLE,13,2,5,5,1.2727272727272727,122,0,0,0.09249431387414708,6862,5.202426080363912,19.13019236130471,6,4,0,0,0,0.004548900682335102,0.003032600454890068,0.0,0.0,10.0,9100,1410,5774,1914,6.899166034874905,22.469690609644683,0.00530705079605762,53.84615384615385,0,0,0,0,2989,21,4446,0,0,636,636,2635,0,8545,0,9,40,251,169,3,16,False
너집너구리,MissFortune,BOTTOM,11,4,10,5,0.8571428571428571,117,0,0,0.0887035633055345,8032,6.089461713419257,22.391971006412042,9,6,0,1,0,0.006823351023502654,0.004548900682335102,0.0,0.0,15.0,11319,10613,579,126,8.581501137225171,27.948838242919578,0.006823351023502654,69.23076923076923,1,0,0,0,2989,21,4446,0,0,2387,2387,1116,520,7474,0,4,129,127,259,5,17,False
DariuSettAkali,Rakan,UTILITY,11,2,6,6,1.2307692307692308,27,0,0,0.02047005307050796,6197,4.698256254738438,17.276275439085587,19,10,1,0,0,0.014404852160727824,0.0075815011372251705,0.0,0.000758150113722517,31.666666666666664,5915,1286,3987,640,4.484457922668688,14.605298896269044,0.006065200909780136,61.53846153846154,0,0,0,0,2989,21,4446,0,0,160,160,3324,1015,15296,2379,25,70,234,139,2,16,False
스캇TV,Jayce,TOP,18,8,6,9,2.6153846153846154,203,0,0,0.10226700251889169,14248,7.177833753148614,20.059694768260407,22,11,2,1,1,0.011083123425692695,0.0055415617128463475,0.0005037783375314861,0.0010075566750629723,12.5,40863,30483,9052,1327,20.585894206549117,25.665940167450742,0.008564231738035265,32.69230769230769,0,0,0,0,5734,100,5298,2,0,10807,10807,2608,0,21689,0,17,200,466,222,2,22,True
민지야 미안하다,LeeSin,JUNGLE,18,27,5,9,6.545454545454546,49,77,29,0.02468513853904282,21749,10.956675062972293,30.620318747536185,31,17,1,6,6,0.015617128463476071,0.008564231738035265,0.003022670025188917,0.0005037783375314861,17.613636363636363,53779,41055,9634,3089,27.09269521410579,33.77844495669269,0.0181360201511335,69.23076923076923,7,0,0,0,5734,100,5298,2,0,2992,2992,29545,0,87819,159,39,499,8012,176,10,21,True
인간백정 김핑구,Zyra,MIDDLE,18,14,6,15,4.461538461538462,172,0,0,0.08664987405541562,16449,8.286649874055415,23.15847271498564,38,13,6,2,1,0.019143576826196475,0.00654911838790932,0.0005037783375314861,0.003022670025188917,21.59090909090909,40463,1556,36759,2147,20.384382871536523,25.41470124551696,0.014609571788413099,55.769230769230774,1,0,0,0,5734,100,5298,2,0,5808,5808,2513,0,12062,0,52,341,913,227,5,22,True
똥은더러워,Kaisa,BOTTOM,15,3,8,11,1.6470588235294117,144,8,0,0.072544080604534,10509,5.294206549118388,14.79557357661767,17,7,2,1,1,0.008564231738035265,0.003526448362720403,0.0005037783375314861,0.0010075566750629723,9.659090909090908,13132,8537,4565,30,6.615617128463476,8.248173807086195,0.007052896725440806,26.923076923076923,0,0,0,0,5734,100,5298,2,0,0,0,2598,356,10287,0,0,39,368,246,3,22,True
얌얌야야얌얌,Lux,UTILITY,13,0,8,10,1.1764705882352942,32,0,0,0.016120906801007556,8073,4.067002518891687,11.365940192600101,68,27,3,4,3,0.03425692695214106,0.013602015113350126,0.0015113350125944584,0.0015113350125944584,38.63636363636363,10974,1312,8967,694,5.528463476070529,6.892739823253419,0.005037783375314861,19.230769230769234,0,0,0,0,5734,100,5298,2,0,0,0,963,0,9451,1373,28,169,464,252,6,21,True
자이브,Illaoi,TOP,16,3,9,2,0.5263157894736842,215,0,0,0.10831234256926953,11872,5.980856423173804,19.390771743568806,15,8,1,2,1,0.007556675062972292,0.004030226700251889,0.0005037783375314861,0.0005037783375314861,13.043478260869565,18265,17598,0,666,9.201511335012594,18.855166718282234,0.0025188916876574307,15.151515151515152,0,0,0,0,5734,100,5298,2,0,4231,4231,7115,0,41322,0,10,1070,73,299,5,27,False
뽀빠이 완딜,Zac,JUNGLE,16,10,10,10,1.9047619047619047,60,87,4,0.030226700251889168,15004,7.558690176322418,24.50632911392405,30,4,7,1,1,0.015113350125944584,0.0020151133501259445,0.0005037783375314861,0.003526448362720403,26.08695652173913,26370,1082,20841,4446,13.28463476070529,27.222050170331375,0.010075566750629723,60.60606060606061,0,0,0,0,5734,100,5298,2,0,294,294,51531,1167,71784,0,65,534,7858,278,2,21,False
사탄들린년,Vex,MIDDLE,15,4,14,4,0.5517241379310345,129,0,0,0.06498740554156171,9328,4.699244332493703,15.235606369946916,15,8,0,0,0,0.007556675062972292,0.004030226700251889,0.0,0.0,13.043478260869565,9918,786,7807,1323,4.99647355163728,10.23846392071849,0.004030226700251889,24.242424242424242,0,0,0,0,5734,100,5298,2,0,1364,1364,1328,0,19716,0,21,628,652,430,0,21,False
히바우두youdo,Xerath,UTILITY,15,7,10,14,2.0,78,0,0,0.03929471032745592,12436,6.264987405541562,20.31196406696611,26,15,3,0,0,0.01309823677581864,0.007556675062972292,0.0,0.0015113350125944584,22.608695652173914,27126,766,23958,2401,13.665491183879093,28.002477547228246,0.01057934508816121,63.63636363636363,0,0,0,0,5734,100,5298,2,0,797,797,384,0,12479,0,29,143,410,319,3,14,False
E0o0E,MissFortune,BOTTOM,14,9,9,7,1.6842105263157894,163,6,0,0.08211586901763224,12585,6.340050377833753,20.55532870559412,29,13,4,2,1,0.014609571788413099,0.00654911838790932,0.0005037783375314861,0.0020151133501259445,25.217391304347824,15191,12750,979,1461,7.652896725440806,15.681841643439661,0.008060453400503778,48.484848484848484,2,1,0,0,5734,100,5298,2,0,2360,2360,2817,795,11259,0,9,223,705,309,3,28,False
원형탈모주호민,Sion,TOP,16,5,7,4,1.2,168,2,0,0.088841882601798,10706,5.661554732945532,16.582766685770046,35,11,4,2,2,0.01850872554204125,0.005817028027498678,0.0010576414595452142,0.0021152829190904283,18.229166666666664,9196,6069,3046,81,4.863035430988894,10.512597741094702,0.004759386567953464,23.076923076923077,0,0,0,0,4482,18,4571,0,0,765,765,4618,0,63069,0,28,825,738,153,2,20,False
뽀빠이 완딜,FiddleSticks,JUNGLE,17,12,7,13,3.3333333333333335,58,87,0,0.030671602326811213,16664,8.812268640930725,25.811248276823466,45,2,5,4,2,0.023796932839767318,0.0010576414595452142,0.0010576414595452142,0.0026441036488630354,23.4375,29853,215,26981,2656,15.78688524590164,34.127074854817316,0.013220518244315178,64.1025641025641,1,0,0,0,4482,18,4571,0,0,2069,2069,16243,0,29985,0,73,865,467,219,5,19,False
강형옥,Ahri,MIDDLE,16,3,9,5,0.8421052631578947,153,0,0,0.08090957165520889,10596,5.603384452670545,16.412385186103066,24,13,2,3,3,0.01269169751454257,0.006874669487043892,0.0015864621893178213,0.0010576414595452142,12.5,8812,429,6529,1853,4.659968270756214,10.073620192967214,0.004230565838180857,20.51282051282051,0,0,0,0,4482,18,4571,0,0,4840,4840,3581,0,11102,0,12,58,128,228,3,19,False
공주님은졸려,Vayne,BOTTOM,16,17,5,8,4.545454545454546,203,7,0,0.10735060814383923,16758,8.86197778952935,25.95684701290253,13,8,2,1,0,0.006874669487043892,0.004230565838180857,0.0,0.0010576414595452142,6.770833333333333,31135,18243,7384,5508,16.46483342147012,35.5926196899721,0.013220518244315178,64.1025641025641,2,0,0,0,4482,18,4571,0,0,7075,7075,7979,134,13018,0,13,127,207,126,4,28,False
도토리인가,Sona,UTILITY,15,2,4,20,4.888888888888889,26,0,0,0.013749338974087784,9837,5.202009518773136,15.236752838400891,75,29,7,8,8,0.03966155473294553,0.015335801163405606,0.004230565838180857,0.0037017451084082496,39.0625,8480,862,7617,0,4.484399788471708,9.694087521148658,0.011634056054997356,56.41025641025641,0,0,0,0,4482,18,4571,0,0,1109,1109,16789,9020,15206,5725,12,43,97,113,10,31,False
snoker,Kalista,TOP,17,10,8,1,1.2941176470588236,214,12,11,0.11316763617133792,15093,7.981491274457959,23.055419772699498,15,10,0,0,0,0.007932310946589107,0.005288207297726071,0.0,0.0,9.433962264150944,26303,25518,784,0,13.909571655208884,23.90920990437407,0.005817028027498678,34.375,1,0,0,0,4482,18,4571,0,0,14584,14584,8552,0,14720,0,12,201,1568,287,1,27,True
