Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
화려한화려한,Renekton,TOP,13,1,8,2,0.3529411764705882,161,0,0,6.909871244635193,7702,330.55793991416306,18.186111307879383,23,6,1,1,1,0.9871244635193132,0.2575107296137339,0.0429184549356223,0.0429184549356223,17.16417910447761,5381,4763,618,0,230.94420600858368,9.90082614215533,0.1287553648068669,17.647058823529413,0,0,0,0,5021,107,6815,-2,0,3332,3332,3192,0,21031,0,8,80,151,215,2,19,False
Agurin was here,Elise,JUNGLE,12,6,9,4,1.0526315789473684,21,84,4,0.9012875536480688,9292,398.79828326180257,21.940450048405,30,8,7,1,1,1.2875536480686696,0.3433476394849785,0.0429184549356223,0.3004291845493562,22.388059701492537,13918,1775,11170,971,597.3390557939914,25.60856685495593,0.4291845493562232,58.82352941176471,0,0,0,0,5937,8,6020,0,0,0,0,8922,0,12868,0,18,104,926,236,2,19,False
Um Maybe,Ahri,MIDDLE,12,5,9,8,1.368421052631579,137,3,0,5.879828326180258,9571,410.7725321888412,22.599230242497224,11,3,3,0,0,0.4721030042918455,0.1287553648068669,0.0,0.1287553648068669,8.208955223880597,13307,1543,8868,2895,571.1158798283261,24.48435113801542,0.5579399141630901,76.47058823529412,1,0,0,0,5509,95,6001,-1,0,0,0,3512,0,12356,0,17,53,390,255,3,22,False
йull,Zeri,BOTTOM,12,1,8,2,0.3529411764705882,177,5,0,7.59656652360515,8728,374.5922746781116,20.60872234421856,16,7,4,0,0,0.6866952789699571,0.3004291845493562,0.0,0.1716738197424892,11.940298507462686,12414,8037,4377,0,532.7896995708154,22.84126662864082,0.1287553648068669,17.647058823529413,0,0,0,0,6006,131,6132,0,0,3303,3303,580,0,7890,0,1,38,690,201,1,18,False
유렉이,Maokai,UTILITY,11,4,8,4,0.9411764705882352,42,0,0,1.8025751072961371,7058,302.9184549356223,16.665486056999836,54,23,9,7,5,2.317596566523605,0.9871244635193132,0.2145922746781116,0.3862660944206008,40.298507462686565,9329,1832,7066,430,400.3862660944206,17.164989236232497,0.3433476394849785,47.05882352941176,0,0,0,0,4109,28,3818,0,0,0,0,3430,471,20058,0,39,182,237,206,9,19,False
Kingen,Quinn,TOP,17,11,2,13,9.6,210,0,2,9.012875536480689,14825,636.2660944206009,25.179184075546047,29,10,2,4,4,1.2446351931330473,0.4291845493562232,0.1716738197424892,0.0858369098712446,18.954248366013072,34201,29694,4370,135,1467.8540772532187,33.05306698365757,1.0300429184549356,57.14285714285714,2,0,0,0,8123,140,8897,2,0,10919,10919,9272,0,9805,0,40,152,852,64,5,21,True
정현심,Khazix,JUNGLE,14,15,5,5,3.636363636363636,11,62,17,0.4721030042918455,14101,605.1931330472103,23.949522741940964,35,6,7,5,5,1.502145922746781,0.2575107296137339,0.2145922746781116,0.3004291845493562,22.875816993464053,20018,17195,1244,1578,859.1416309012875,19.346109613135795,0.8583690987124464,47.61904761904761,3,0,0,0,7443,7,5751,0,0,802,802,9598,0,13528,0,8,168,1329,107,7,25,True
dlwlrma22,Azir,MIDDLE,15,8,3,3,3.142857142857143,201,4,2,8.626609442060085,11728,503.3476394849785,19.919154862597235,20,11,2,3,3,0.8583690987124464,0.4721030042918455,0.1287553648068669,0.0858369098712446,13.071895424836605,28361,756,27396,208,1217.2103004291846,27.409082562600872,0.4721030042918455,26.190476190476197,0,0,0,0,6351,124,7044,1,0,8063,8063,3240,0,11012,0,11,170,2491,93,5,22,True
ssrad,Kaisa,BOTTOM,14,8,3,5,3.7142857142857135,207,0,0,8.88412017167382,11521,494.4635193133047,19.56758042053059,15,7,2,3,2,0.6437768240343348,0.3004291845493562,0.0858369098712446,0.0858369098712446,9.803921568627452,15540,10820,4719,0,666.9527896995708,15.018410599866632,0.5579399141630901,30.952380952380956,1,0,0,0,6210,131,6155,0,0,2406,2406,4042,0,7209,0,0,0,393,82,5,21,True
camilo,Rell,UTILITY,11,0,4,18,4.0,29,0,0,1.2446351931330473,6703,287.6824034334764,11.38455789938517,54,30,6,10,8,2.317596566523605,1.2875536480686696,0.3433476394849785,0.2575107296137339,35.294117647058826,5353,1359,3518,475,229.74248927038627,5.17333024073913,0.7725321888412017,42.85714285714285,0,0,0,0,3773,22,3563,0,0,0,0,1105,0,16350,0,31,58,229,79,12,24,True
