Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
나락간 주호민,Gangplank,TOP,15,5,4,8,2.888888888888889,143,13,0,0.09231762427372499,11501,7.4247901872175595,20.01949555257707,27,12,2,5,4,0.017430600387346677,0.007746933505487412,0.0025823111684958036,0.0012911555842479018,17.763157894736842,17889,10428,4655,2804,11.548741123305359,19.30023303987571,0.008392511297611363,34.21052631578947,0,0,0,0,4908,7,3867,0,0,8805,8805,5359,0,14294,0,8,242,248,149,5,21,True
까마귀 눈비 맞아,RekSai,JUNGLE,16,16,4,8,5.333333333333333,10,67,26,0.006455777921239509,14773,9.537120723047128,25.714981984020607,19,4,3,0,0,0.012265978050355068,0.0025823111684958036,0.0,0.001936733376371853,12.5,25684,21981,0,3702,16.581020012911555,27.710167443466254,0.015493867010974823,63.1578947368421,1,0,0,0,4908,7,3867,0,1,2996,2996,24870,0,29547,0,34,340,2029,103,1,20,True
처음이니할것만함,Ahri,MIDDLE,15,6,5,9,2.727272727272727,189,0,4,0.12201420271142673,10952,7.070367979341511,19.06386534143327,26,12,4,6,4,0.016785022595222725,0.007746933505487412,0.0025823111684958036,0.0025823111684958036,17.105263157894736,15271,1210,11267,2792,9.858618463524854,16.47570343518039,0.009683666881859263,39.473684210526315,0,0,0,0,4908,7,3867,0,0,1724,1724,5096,0,10138,0,17,68,824,160,8,23,True
다부락다부락,Ashe,BOTTOM,15,10,3,10,5.714285714285714,197,4,0,0.12717882504841835,12941,8.354422207876048,22.526066598200142,18,7,3,0,0,0.011620400258231117,0.004519044544867657,0.0,0.001936733376371853,11.842105263157894,27577,22796,4585,195,17.803098773402194,29.75250302088728,0.012911555842479019,52.63157894736842,1,0,0,0,4908,7,3867,0,0,7731,7731,5397,0,6726,0,54,626,480,42,2,20,True
할줄아는거,Alistar,UTILITY,12,1,6,13,2.1538461538461537,25,0,0,0.016139444803098774,7282,4.7010974822466105,12.675590523768909,62,33,3,9,8,0.040025823111684955,0.02130406714009038,0.005164622336991607,0.001936733376371853,40.78947368421053,6267,494,4613,1159,4.045836023240801,6.761393060590367,0.009038089089735314,36.84210526315789,0,0,0,0,4908,7,3867,0,0,700,700,6634,3363,18741,0,32,74,306,132,11,25,True
두루 주 빛날 희,Gnar,TOP,13,0,8,3,0.35294117647058826,147,2,4,0.09489993544222079,7781,5.023240800516462,16.24391975115342,18,8,1,3,3,0.011620400258231117,0.005164622336991607,0.001936733376371853,0.0006455777921239509,12.676056338028168,12378,10271,2107,0,7.990961910910265,13.454640318267789,0.001936733376371853,13.636363636363635,0,0,0,0,4908,7,3867,0,0,4227,4227,747,0,14508,0,20,358,2347,254,4,18,False
대포에스마쓸거임,Taliyah,JUNGLE,13,6,6,6,1.8461538461538463,36,94,4,0.023240800516462233,10808,6.9774047772756616,22.563203273418093,23,3,5,3,3,0.014848289218850872,0.001936733376371853,0.001936733376371853,0.0032278889606197547,16.19718309859155,27426,956,25011,1458,17.705616526791477,29.811517641687864,0.007746933505487412,54.54545454545454,1,0,0,0,4908,7,3867,0,0,0,0,6060,0,9285,0,36,557,1836,198,4,17,False
이기는게 장땡,Pantheon,MIDDLE,13,3,8,4,0.8235294117647058,139,0,0,0.08973531310522918,8589,5.544867656552615,17.930732135028496,19,6,3,4,4,0.012265978050355068,0.003873466752743706,0.0025823111684958036,0.001936733376371853,13.380281690140844,13124,10750,1481,892,8.472562943834733,14.26552751146764,0.004519044544867657,31.818181818181817,0,0,0,0,4908,7,3867,0,0,598,598,2466,0,16707,0,15,25,3111,284,4,18,False
soenghoo,Lucian,BOTTOM,13,12,5,3,2.727272727272727,192,0,2,0.12395093608779859,13367,8.629438347320852,27.905471702052147,30,11,8,2,2,0.019367333763718526,0.0071013557133634605,0.0012911555842479018,0.005164622336991607,21.12676056338028,21548,19335,2058,155,13.910910264686894,23.422248309745864,0.009683666881859263,68.18181818181817,1,0,0,0,4908,7,3867,0,0,3640,3640,5133,725,8040,0,3,91,898,126,3,22,False
죽어도되는자리,Swain,UTILITY,10,1,11,10,0.9565217391304348,16,0,0,0.010329244673983214,7356,4.748870238863783,15.356673138347842,52,20,7,3,1,0.03357004519044545,0.012911555842479019,0.0006455777921239509,0.004519044544867657,36.61971830985916,17522,769,15367,1384,11.311814073595869,19.046066218830845,0.0071013557133634605,50.0,0,0,0,0,4908,7,3867,0,0,671,671,4570,0,11190,0,20,92,2459,250,5,19,False
