Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
챌찍고 떡침,Jayce,TOP,18,21,4,8,6.444444444444445,320,2,4,8.629213483146067,23175,624.943820224719,30.43295557510735,13,9,3,0,0,0.350561797752809,0.24269662921348312,0.0,0.08089887640449438,8.227848101265822,66263,51006,14023,1233,1786.867415730337,44.62214979326321,0.7820224719101123,80.55555555555556,3,1,0,0,6781,102,7426,0,0,4338,4338,11862,0,41626,0,25,626,1162,91,6,28,False
날어른으로부르네,Shyvana,JUNGLE,17,5,9,6,1.1578947368421053,120,114,17,3.235955056179775,15691,423.12808988764044,20.605113524444853,21,15,1,4,4,0.5662921348314607,0.4044943820224719,0.10786516853932583,0.026966292134831458,13.291139240506327,32643,1701,28346,2595,880.2606741573034,21.982114237228785,0.296629213483146,30.555555555555557,0,0,0,0,5260,3,5617,-2,0,7228,7228,18627,0,35781,0,8,179,1461,313,5,20,False
롤로노아 성정윤,Yone,MIDDLE,17,1,12,4,0.4,213,23,0,5.743820224719101,12641,340.88089887640444,16.599913330094154,24,10,2,6,6,0.647191011235955,0.2696629213483146,0.16179775280898875,0.053932584269662916,15.18987341772152,17199,9907,4689,2602,463.79325842696625,11.581974168002262,0.1348314606741573,13.88888888888889,0,0,0,0,4381,95,6457,1,0,4516,4516,4378,0,32049,0,23,276,1620,394,13,35,False
민서야cs먹지마,Samira,BOTTOM,17,8,7,11,2.533333333333333,235,0,0,6.337078651685393,15292,412.3685393258427,20.081154548200285,7,6,0,0,0,0.1887640449438202,0.16179775280898875,0.0,0.0,4.430379746835443,23354,19509,2990,854,629.770786516854,15.726811135503507,0.5123595505617977,52.77777777777778,0,0,0,0,5330,99,4287,0,0,383,383,14668,731,23725,0,5,75,1609,172,2,24,False
혜즤공듀핑핑이,Alistar,UTILITY,15,1,7,20,2.8,47,0,0,1.2674157303370785,9352,252.1887640449438,12.280863022153353,93,27,14,2,2,2.507865168539326,0.7280898876404494,0.053932584269662916,0.3775280898876404,58.86075949367089,9039,1653,7096,290,243.74831460674156,6.086950666002236,0.5662921348314607,58.333333333333336,0,0,0,0,3666,27,3809,-1,0,60,60,12168,4551,38830,1392,69,416,700,156,4,23,False
라쿤387,Trundle,TOP,18,7,10,3,0.9523809523809523,210,4,2,5.662921348314606,15937,429.76179775280895,20.950440383856975,44,14,4,2,2,1.186516853932584,0.3775280898876404,0.053932584269662916,0.10786516853932583,20.46511627906977,25024,20571,4194,258,674.8044943820224,18.30577907827359,0.2696629213483146,25.64102564102564,1,0,0,0,6017,111,7642,0,0,13422,13422,22712,0,56190,0,22,1260,7761,357,3,28,True
힝구힝규,Naafiri,MIDDLE,18,16,6,6,3.3846153846153846,228,12,9,6.148314606741573,20531,553.6449438202247,26.989614828447483,18,9,1,0,0,0.48539325842696623,0.24269662921348312,0.0,0.026966292134831458,8.372093023255815,38694,35253,0,3440,1043.4337078651686,28.30577907827359,0.593258426966292,56.41025641025641,1,0,0,0,6813,116,7860,2,0,5884,5884,11532,6282,37074,0,3,42,1204,294,1,23,True
공사현장 이명박,Nunu,JUNGLE,17,4,10,18,2.0952380952380953,57,60,26,1.5370786516853931,14080,379.6853932584269,18.509267779676613,44,14,7,1,1,1.186516853932584,0.3775280898876404,0.026966292134831458,0.1887640449438202,20.46511627906977,20775,1939,16899,1936,560.2247191011236,15.19751280175567,0.593258426966292,56.41025641025641,0,0,0,0,5296,8,5957,-1,0,0,0,27820,1378,68298,0,56,493,1597,335,2,20,True
진짜 맞는거냐고,Kaisa,BOTTOM,16,9,5,8,3.090909090909091,203,20,0,5.474157303370786,14861,400.7460674157303,19.535953726830552,47,19,0,6,6,1.2674157303370785,0.5123595505617977,0.16179775280898875,0.0,21.86046511627907,23033,16418,6540,75,621.114606741573,16.84930504754938,0.4584269662921348,43.58974358974359,2,0,0,0,6288,106,4730,0,0,1805,1805,5464,740,10996,0,1,61,328,157,7,30,True
에 쿙,Lux,UTILITY,15,3,6,15,2.769230769230769,44,0,4,1.186516853932584,10661,287.4876404494382,14.01472328118838,62,33,3,5,3,1.6719101123595506,0.8898876404494381,0.08089887640449438,0.08089887640449438,28.837209302325583,29174,767,27564,842,786.714606741573,21.341623994147767,0.48539325842696623,46.15384615384615,0,0,0,0,4620,5,4327,1,0,1164,1164,1915,0,9185,4541,41,216,65,175,7,23,True
