,Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased
0,장연석,Olaf,TOP,16,5,0,3,16.0,229,4,17,0.155359565807327,13001,8.8202170963365,23.81484466588511,18,7,3,1,1,0.012211668928086838,0.0047489823609226595,0.0006784260515603799,0.0020352781546811396,13.533834586466165,12899,9454,0,3444,8.751017639077341,19.202369964569623,0.005427408412483039,28.57142857142857,1,0,0,0,7137,131,8576,2,0,8791,8791,9515,0,15146,0,12,347,2408,0,3,26,장연석,Olaf,TOP,16,5,0,3,16.0,229,4,17,0.155359565807327,13001,8.8202170963365,23.81484466588511,18,7,3,1,1,0.012211668928086838,0.0047489823609226595,0.0006784260515603799,0.0020352781546811396,13.533834586466165,12899,9454,0,3444,8.751017639077341,19.202369964569623,0.005427408412483039,28.57142857142857,1,0,0,0,7137,131,8576,2,0,8791,8791,9515,0,15146,0,12,347,2408,0,3,26
1,장연석,Sion,TOP,12,0,5,3,0.5454545454545454,124,0,0,0.10411418975650713,5839,4.902602854743913,17.012411864110483,7,5,0,1,0,0.005877413937867338,0.0041981528127623844,0.0,0.0,11.11111111111111,12274,9132,3137,5,10.305625524769102,29.467972726399694,0.0025188916876574307,30.0,0,0,0,0,4390,101,7268,-1,0,0,0,2164,0,20136,0,28,380,351,157,2,13,장연석,Sion,TOP,12,0,5,3,0.5454545454545454,124,0,0,0.10411418975650713,5839,4.902602854743913,17.012411864110483,7,5,0,1,0,0.005877413937867338,0.0041981528127623844,0.0,0.0,11.11111111111111,12274,9132,3137,5,10.305625524769102,29.467972726399694,0.0025188916876574307,30.0,0,0,0,0,4390,101,7268,-1,0,0,0,2164,0,20136,0,28,380,351,157,2,13
2,장연석,XinZhao,JUNGLE,16,8,5,11,3.4545454545454546,45,83,9,0.02555366269165247,13142,7.462805224304373,21.37536189453824,20,2,3,1,1,0.011357183418512209,0.001135718341851221,0.0005678591709256105,0.0017035775127768314,14.084507042253522,22063,18017,2046,1998,12.528676888131743,23.287454349707627,0.010789324247586598,70.37037037037037,1,0,0,0,6652,8,5667,0,0,1651,1651,18421,0,34006,0,26,568,1607,130,3,25,장연석,XinZhao,JUNGLE,16,8,5,11,3.4545454545454546,45,83,9,0.02555366269165247,13142,7.462805224304373,21.37536189453824,20,2,3,1,1,0.011357183418512209,0.001135718341851221,0.0005678591709256105,0.0017035775127768314,14.084507042253522,22063,18017,2046,1998,12.528676888131743,23.287454349707627,0.010789324247586598,70.37037037037037,1,0,0,0,6652,8,5667,0,0,1651,1651,18421,0,34006,0,26,568,1607,130,3,25
3,장연석,Khazix,JUNGLE,16,6,8,9,1.7647058823529411,40,98,0,0.020512820512820513,12672,6.498461538461538,19.25396945984958,21,4,1,4,4,0.010769230769230769,0.0020512820512820513,0.0020512820512820513,0.0005128205128205128,12.0,23014,19430,1435,2148,11.802051282051282,20.3595251154479,0.007692307692307693,46.875,0,0,0,0,5538,5,5329,-1,1,0,0,13661,0,19454,0,14,367,817,157,5,26,장연석,Khazix,JUNGLE,16,6,8,9,1.7647058823529411,40,98,0,0.020512820512820513,12672,6.498461538461538,19.25396945984958,21,4,1,4,4,0.010769230769230769,0.0020512820512820513,0.0020512820512820513,0.0005128205128205128,12.0,23014,19430,1435,2148,11.802051282051282,20.3595251154479,0.007692307692307693,46.875,0,0,0,0,5538,5,5329,-1,1,0,0,13661,0,19454,0,14,367,817,157,5,26
4,장연석,Khazix,JUNGLE,16,14,7,6,2.6666666666666665,70,83,16,0.0390625,17713,9.884486607142858,30.633668845768046,26,2,3,2,2,0.014508928571428572,0.0011160714285714285,0.0011160714285714285,0.0016741071428571428,21.666666666666668,36950,31260,2420,3268,20.619419642857142,42.13515177777271,0.011160714285714286,76.92307692307693,1,0,0,0,7842,12,6178,1,0,0,0,11969,0,21446,0,12,296,1735,221,3,24,장연석,Khazix,JUNGLE,16,14,7,6,2.6666666666666665,70,83,16,0.0390625,17713,9.884486607142858,30.633668845768046,26,2,3,2,2,0.014508928571428572,0.0011160714285714285,0.0011160714285714285,0.0016741071428571428,21.666666666666668,36950,31260,2420,3268,20.619419642857142,42.13515177777271,0.011160714285714286,76.92307692307693,1,0,0,0,7842,12,6178,1,0,0,0,11969,0,21446,0,12,296,1735,221,3,24
5,장연석,Shaco,JUNGLE,13,5,7,1,0.8,25,58,4,0.015812776723592662,10133,6.409234661606578,23.26109912308893,30,7,8,2,1,0.018975332068311195,0.004427577482605946,0.0006325110689437065,0.005060088551549652,23.4375,11412,6833,2977,1601,7.218216318785578,20.32666583545589,0.003795066413662239,50.0,0,0,0,0,5544,7,5010,0,0,0,0,6093,0,11570,0,22,553,1158,146,3,23,장연석,Shaco,JUNGLE,13,5,7,1,0.8,25,58,4,0.015812776723592662,10133,6.409234661606578,23.26109912308893,30,7,8,2,1,0.018975332068311195,0.004427577482605946,0.0006325110689437065,0.005060088551549652,23.4375,11412,6833,2977,1601,7.218216318785578,20.32666583545589,0.003795066413662239,50.0,0,0,0,0,5544,7,5010,0,0,0,0,6093,0,11570,0,22,553,1158,146,3,23
6,장연석,Khazix,JUNGLE,10,3,2,4,2.8,31,51,2,0.03358613217768147,7536,8.164680390032503,22.05830698981384,12,3,1,2,1,0.013001083423618635,0.0032502708559046588,0.0010834236186348862,0.0010834236186348862,19.35483870967742,5483,4565,308,609,5.940411700975082,12.854597458620528,0.007583965330444204,33.33333333333333,0,0,0,0,7246,31,6711,1,0,74,74,7011,0,5992,0,2,98,99,37,3,10,장연석,Khazix,JUNGLE,10,3,2,4,2.8,31,51,2,0.03358613217768147,7536,8.164680390032503,22.05830698981384,12,3,1,2,1,0.013001083423618635,0.0032502708559046588,0.0010834236186348862,0.0010834236186348862,19.35483870967742,5483,4565,308,609,5.940411700975082,12.854597458620528,0.007583965330444204,33.33333333333333,0,0,0,0,7246,31,6711,1,0,74,74,7011,0,5992,0,2,98,99,37,3,10
7,장연석,Orianna,MIDDLE,15,6,13,11,1.2592592592592593,174,0,2,0.090625,11632,6.058333333333334,19.72796038126251,20,11,2,1,1,0.010416666666666666,0.005729166666666666,0.0005208333333333333,0.0010416666666666667,9.30232558139535,17763,1535,16200,26,9.2515625,20.945698956429457,0.008854166666666666,53.125,1,0,0,0,6086,85,6108,1,0,4972,4972,221,0,22339,745,23,347,288,372,3,16,장연석,Orianna,MIDDLE,15,6,13,11,1.2592592592592593,174,0,2,0.090625,11632,6.058333333333334,19.72796038126251,20,11,2,1,1,0.010416666666666666,0.005729166666666666,0.0005208333333333333,0.0010416666666666667,9.30232558139535,17763,1535,16200,26,9.2515625,20.945698956429457,0.008854166666666666,53.125,1,0,0,0,6086,85,6108,1,0,4972,4972,221,0,22339,745,23,347,288,372,3,16
8,장연석,Khazix,JUNGLE,15,17,4,8,5.555555555555555,13,86,3,0.007111597374179431,16725,9.149343544857768,25.543710672612868,20,2,2,2,2,0.010940919037199124,0.0010940919037199124,0.0010940919037199124,0.0010940919037199124,12.738853503184714,30370,26393,1836,2140,16.61378555798687,26.275490340274953,0.013676148796498906,65.78947368421053,4,0,0,0,6883,5,5588,2,0,2484,2484,12539,0,15546,0,8,171,410,78,3,23,장연석,Khazix,JUNGLE,15,17,4,8,5.555555555555555,13,86,3,0.007111597374179431,16725,9.149343544857768,25.543710672612868,20,2,2,2,2,0.010940919037199124,0.0010940919037199124,0.0010940919037199124,0.0010940919037199124,12.738853503184714,30370,26393,1836,2140,16.61378555798687,26.275490340274953,0.013676148796498906,65.78947368421053,4,0,0,0,6883,5,5588,2,0,2484,2484,12539,0,15546,0,8,171,410,78,3,23
9,장연석,Shaco,JUNGLE,18,21,6,8,4.461538461538462,46,84,33,0.02026431718061674,19576,8.623788546255506,24.642187283644464,21,0,4,0,0,0.009251101321585903,0.0,0.0,0.001762114537444934,10.552763819095476,32167,20568,8540,3058,14.170484581497798,20.666769464040193,0.01277533039647577,70.73170731707317,2,1,0,0,6976,6,6556,1,0,6420,6420,11756,0,24968,0,35,868,1035,229,1,20,장연석,Shaco,JUNGLE,18,21,6,8,4.461538461538462,46,84,33,0.02026431718061674,19576,8.623788546255506,24.642187283644464,21,0,4,0,0,0.009251101321585903,0.0,0.0,0.001762114537444934,10.552763819095476,32167,20568,8540,3058,14.170484581497798,20.666769464040193,0.01277533039647577,70.73170731707317,2,1,0,0,6976,6,6556,1,0,6420,6420,11756,0,24968,0,35,868,1035,229,1,20
