Player,championName,teamPosition,champLevel,kills,deaths,assists,KDA 0.5,totalMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,CSM,goldEarned,GPM,GOLD ratio,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,VSPM,WPM,VWPM,WCPM,VS ratio,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,DPM,DMG ratio,K+A Per Minute,KP ratio,doubleKills,tripleKills,quadraKills,pentaKills,GD@15,CSD@15,XPD@15,LVLD@15,objectivesStolen,damageDealtToTurrets,damageDealtToBuildings,totalHeal,totalHealsOnTeammates,damageSelfMitigated,totalDamageShieldedOnTeammates,timeCCingOthers,totalTimeCCDealt,trueDamageTaken,totalTimeSpentDead,consumablesPurchased,itemsPurchased,win
Ditto Dihoo,Seraphine,UTILITY,13,2,5,20,4.0,30,0,0,0.0174114915844457,8919,5.176436448055717,14.20177701347091,82,37,15,9,8,0.0475914103308183,0.0214741729541497,0.0046430644225188,0.0087057457922228,48.80952380952381,6472,885,5587,0,3.75623911781776,6.146073711100349,0.0127684271619268,59.45945945945946,0,0,0,0,3979,11,3843,-1,0,2396,2396,3026,1445,4216,3171,15,85,280,99,12,30,True
Ditto Dihoo,Yuumi,UTILITY,13,0,8,23,2.7058823529411766,3,0,0,0.0014778325123152,8116,3.998029556650246,11.62617465046986,72,34,0,9,7,0.0354679802955665,0.0167487684729064,0.0034482758620689,0.0,41.37931034482759,7322,289,7032,0,3.606896551724138,5.6874320335560045,0.0113300492610837,62.16216216216216,0,0,0,0,3753,2,4258,-2,0,0,0,8044,7114,5190,11456,22,204,20,178,9,27,True
Ditto Dihoo,Lulu,UTILITY,11,2,4,6,1.7777777777777777,7,0,0,0.0048076923076923,6874,4.721153846153846,13.128592983059264,61,25,7,8,8,0.0418956043956043,0.0171703296703296,0.0054945054945054,0.0048076923076923,44.20289855072464,2559,777,1781,0,1.757554945054945,3.509180916857507,0.0054945054945054,47.05882352941176,0,0,0,0,3319,4,3650,-4,0,1137,1137,1751,823,4009,4026,12,144,72,45,11,21,True
Ditto Dihoo,Lulu,UTILITY,13,1,5,9,1.818181818181818,6,0,0,0.0032068412613575,7386,3.94762159273116,11.099923355525164,77,37,6,11,10,0.0411544628540887,0.0197755211117049,0.0053447354355959,0.0032068412613575,48.125,2664,539,2124,0,1.423837520042758,2.5854288182144627,0.0053447354355959,31.25,0,0,0,0,3537,2,4698,0,0,640,640,1989,678,8396,3569,16,133,438,199,14,32,False
Ditto Dihoo,Soraka,UTILITY,15,2,12,17,1.52,13,0,0,0.0055986218776916,9277,3.99526270456503,12.347437211345214,98,53,2,14,12,0.0422049956933677,0.0228251507321274,0.0051679586563307,0.0008613264427217,52.406417112299465,5194,470,3854,869,2.236864771748493,3.2450736607979604,0.008182601205857,57.57575757575758,0,0,0,0,3941,7,4641,-1,0,775,775,28943,23984,14271,1744,36,191,90,404,18,40,False
Ditto Dihoo,Lux,UTILITY,13,2,7,11,1.7333333333333334,32,0,0,0.0158415841584158,9415,4.660891089108911,13.232793152398486,87,41,6,9,8,0.043069306930693,0.0202970297029702,0.0039603960396039,0.0029702970297029,48.60335195530726,9480,1352,8127,0,4.693069306930693,8.233812481000564,0.0064356435643564,33.33333333333333,0,0,0,0,4392,13,4359,0,0,642,642,673,0,10033,1664,29,119,0,210,11,25,True
Ditto Dihoo,Yuumi,UTILITY,14,0,8,31,3.647058823529412,1,0,0,0.0006150061500615,7687,4.727552275522755,11.989955078612429,48,25,1,8,8,0.029520295202952,0.0153751537515375,0.004920049200492,0.0006150061500615,47.52475247524752,7323,456,6867,0,4.503690036900369,6.538918305935298,0.0190651906519065,68.88888888888889,0,0,0,0,3446,1,4856,-1,0,29,29,6502,6045,5835,10913,20,159,1174,190,9,25,True
Ditto Dihoo,Lulu,UTILITY,10,0,10,6,0.5714285714285714,1,0,0,0.0006830601092896,5308,3.6256830601092895,12.54668368552924,35,21,1,8,7,0.0239071038251366,0.0143442622950819,0.0047814207650273,0.0006830601092896,40.22988505747127,2998,482,2515,0,2.047814207650273,4.310320039106306,0.0040983606557377,40.0,0,0,0,0,3232,0,3701,-3,0,496,496,1765,625,8320,2472,18,189,619,215,13,26,False
Ditto Dihoo,Janna,UTILITY,12,1,8,15,1.8823529411764703,10,0,0,0.0052410901467505,7978,4.181341719077568,11.896454027616237,78,38,10,10,9,0.040880503144654,0.0199161425576519,0.0047169811320754,0.0052410901467505,49.0566037735849,1792,287,1505,0,0.939203354297694,1.5553395361755311,0.0083857442348008,50.0,0,0,0,0,3368,2,3075,-3,0,676,676,3183,1797,5956,3102,41,169,83,163,13,28,False
Ditto Dihoo,Yuumi,UTILITY,14,1,2,18,7.6,4,0,0,0.0026613439787092,7980,5.30938123752495,13.18463444857497,62,28,2,6,6,0.0412508316699933,0.0186294078509647,0.0039920159680638,0.0013306719893546,48.81889763779528,7985,388,7596,0,5.3127079174983365,8.37318065517386,0.0126413838988689,48.71794871794872,0,0,0,0,4001,3,5785,-1,0,953,953,7409,6851,1864,8671,18,197,10,40,6,22,True
