Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
Kiin,Renekton,TOP,16,4,2,5,4.5,251,8,,9.2,11998,441,21.4%,30,11,6,5,5,1.1,0.4,0.18,0.22,12.9%,13966,12060,1671,235,513,25%,0.33,56.3%,2,1,0,0,0,2014,40,2027,1,0,2715,2715,8085,0,22784,0,13,59,24318,95,7,30,0,300
Cuzz,Sejuani,JUNGLE,14,4,0,7,Perfect KDA,184,165,,6.8,10677,393,19%,60,8,16,8,8,2.21,0.29,0.29,0.59,25.9%,10358,6302,3148,908,381,18.5%,0.4,68.8%,1,0,0,0,0,1162,24,1277,2,0,213,213,14250,998,36143,0,18,324,27195,0,9,26,0,0
Bdd,Veigar,MID,17,2,0,5,Perfect KDA,275,0,,10.1,12378,455,22%,30,6,4,4,4,1.1,0.22,0.15,0.15,12.9%,10021,609,9317,95,368,17.9%,0.26,43.8%,,0,0,0,0,92,-19,-685,-1,0,9368,9368,2322,0,5390,0,14,62,6262,0,6,20,0,0
Aiming,Zeri,ADC,15,6,0,6,Perfect KDA,299,35,,11,13998,515,24.9%,44,13,12,3,3,1.62,0.48,0.11,0.44,19%,18308,11840,5010,1458,673,32.7%,0.44,75%,1,2,0,0,0,1295,18,888,1,0,8379,8379,1567,0,14442,0,10,289,6169,0,5,23,0,0
Lehends,Lulu,SUPPORT,12,0,0,11,Perfect KDA,17,0,,0.6,7131,262,12.7%,68,35,9,12,10,2.5,1.29,0.44,0.33,29.3%,3281,777,2349,155,121,5.9%,0.4,68.8%,,0,0,0,0,357,-19,383,1,0,981,981,639,451,2924,4046,17,222,2985,0,15,26,0,0
Rascal,Jax,TOP,15,0,2,1,0.5,225,12,,8.3,9291,342,21.5%,23,13,3,5,3,0.85,0.48,0.18,0.11,12.2%,9330,4990,4340,0,343,25.4%,0.04,50%,,0,0,0,0,-2014,-40,-2027,-1,0,2593,2593,3238,0,13196,0,8,137,20188,16,6,21,0,0
Juhan,Wukong,JUNGLE,12,1,5,1,0.4,134,116,,4.9,8298,305,19.2%,47,10,11,10,8,1.73,0.37,0.37,0.4,25%,6920,6160,437,323,254,18.9%,0.07,100%,,0,0,0,0,-1162,-24,-1277,-2,0,1072,1072,8482,0,21283,0,6,175,22400,155,11,27,300,0
FATE,Taliyah,MID,15,1,2,1,1,272,6,,10,9973,367,23.1%,19,9,1,5,3,0.7,0.33,0.18,0.04,10.1%,9450,284,9042,124,347,25.8%,0.07,100%,,0,0,0,0,-92,19,685,1,0,1118,1118,242,0,6450,0,19,526,8218,48,7,28,0,0
deokdam,Xayah,ADC,13,0,3,1,0.3,247,4,,9.1,9674,356,22.4%,27,12,8,4,4,0.99,0.44,0.15,0.29,14.4%,8936,8936,0,0,329,24.4%,0.04,50%,,0,0,0,0,-1295,-18,-888,-1,0,3212,3212,1510,0,6525,0,7,14,11583,73,8,23,0,0
BeryL,Rakan,SUPPORT,11,0,4,1,0.3,41,0,,1.5,5892,217,13.7%,72,37,10,13,11,2.65,1.36,0.48,0.37,38.3%,2045,300,1406,339,75,5.6%,0.04,50%,,0,0,0,0,-357,19,-383,-1,0,292,292,2299,1106,14066,1898,11,26,13666,126,15,28,0,0
