1,2,3,4,5,6,total_game
KT Rolster,2 - 0,Liiv SANDBOX,WEEK9,13.14,2023-08-06,2
DRX,2 - 0,Kwangdong Freecs,WEEK9,13.14,2023-08-06,2
BRION,2 - 0,Gen.G eSports,WEEK9,13.14,2023-08-05,2
Dplus KIA,0 - 2,Hanwha Life eSports,WEEK9,13.14,2023-08-05,2
Nongshim RedForce,1 - 2,KT Rolster,WEEK9,13.14,2023-08-04,3
T1,2 - 1,Liiv SANDBOX,WEEK9,13.14,2023-08-04,3
Hanwha Life eSports,0 - 2,Gen.G eSports,WEEK9,13.14,2023-08-03,2
DRX,2 - 0,BRION,WEEK9,13.14,2023-08-03,2
Nongshim RedForce,0 - 2,Dplus KIA,WEEK9,13.14,2023-08-02,2
T1,2 - 0,Kwangdong Freecs,WEEK9,13.14,2023-08-02,2
Gen.G eSports,2 - 0,Dplus KIA,WEEK8,13.13,2023-07-30,2
Nongshim RedForce,2 - 1,BRION,WEEK8,13.13,2023-07-30,3
DRX,0 - 2,Hanwha Life eSports,WEEK8,13.13,2023-07-29,2
KT Rolster,2 - 0,T1,WEEK8,13.13,2023-07-29,2
BRION,0 - 2,Liiv SANDBOX,WEEK8,13.13,2023-07-28,2
Dplus KIA,2 - 0,Kwangdong Freecs,WEEK8,13.13,2023-07-28,2
Hanwha Life eSports,2 - 0,Nongshim RedForce,WEEK8,13.13,2023-07-27,2
T1,1 - 2,DRX,WEEK8,13.13,2023-07-27,3
Kwangdong Freecs,0 - 2,KT Rolster,WEEK8,13.13,2023-07-26,2
Gen.G eSports,2 - 0,Liiv SANDBOX,WEEK8,13.13,2023-07-26,2
Liiv SANDBOX,2 - 0,DRX,WEEK7,13.12,2023-07-23,2
T1,1 - 2,BRION,WEEK7,13.12,2023-07-23,3
Nongshim RedForce,2 - 1,Kwangdong Freecs,WEEK7,13.12,2023-07-22,3
Gen.G eSports,0 - 2,KT Rolster,WEEK7,13.12,2023-07-22,2
Hanwha Life eSports,2 - 0,T1,WEEK7,13.12,2023-07-21,2
BRION,1 - 2,Dplus KIA,WEEK7,13.12,2023-07-21,3
DRX,1 - 2,Nongshim RedForce,WEEK7,13.12,2023-07-20,3
Kwangdong Freecs,0 - 2,Gen.G eSports,WEEK7,13.12,2023-07-20,2
Liiv SANDBOX,0 - 2,Hanwha Life eSports,WEEK7,13.12,2023-07-19,2
Dplus KIA,0 - 2,KT Rolster,WEEK7,13.12,2023-07-19,2
KT Rolster,2 - 1,DRX,WEEK6,13.12,2023-07-16,3
Dplus KIA,2 - 0,T1,WEEK6,13.12,2023-07-16,2
Hanwha Life eSports,2 - 1,BRION,WEEK6,13.12,2023-07-15,3
Kwangdong Freecs,0 - 2,Liiv SANDBOX,WEEK6,13.12,2023-07-15,2
DRX,0 - 2,Gen.G eSports,WEEK6,13.12,2023-07-14,2
T1,2 - 0,Nongshim RedForce,WEEK6,13.12,2023-07-14,2
BRION,2 - 1,Kwangdong Freecs,WEEK6,13.12,2023-07-13,3
Hanwha Life eSports,1 - 2,KT Rolster,WEEK6,13.12,2023-07-13,3
Gen.G eSports,2 - 0,Nongshim RedForce,WEEK6,13.12,2023-07-12,2
Liiv SANDBOX,0 - 2,Dplus KIA,WEEK6,13.12,2023-07-12,2
Kwangdong Freecs,0 - 2,Hanwha Life eSports,WEEK5,13.12,2023-07-09,2
KT Rolster,2 - 0,BRION,WEEK5,13.12,2023-07-09,2
Nongshim RedForce,2 - 0,Liiv SANDBOX,WEEK5,13.12,2023-07-08,2
T1,0 - 2,Gen.G eSports,WEEK5,13.12,2023-07-08,2
BRION,0 - 2,KT Rolster,WEEK5,13.12,2023-07-07,2
Dplus KIA,2 - 0,DRX,WEEK5,13.12,2023-07-07,2
Liiv SANDBOX,0 - 2,Gen.G eSports,WEEK5,13.12,2023-07-06,2
Nongshim RedForce,0 - 2,Hanwha Life eSports,WEEK5,13.12,2023-07-06,2
DRX,2 - 0,T1,WEEK5,13.12,2023-07-05,2
Dplus KIA,2 - 0,Kwangdong Freecs,WEEK5,13.12,2023-07-05,2
T1,2 - 1,Nongshim RedForce,WEEK4,13.12,2023-07-02,3
Gen.G eSports,2 - 0,Hanwha Life eSports,WEEK4,13.12,2023-07-02,2
Kwangdong Freecs,2 - 0,Liiv SANDBOX,WEEK4,13.12,2023-07-01,2
BRION,2 - 1,DRX,WEEK4,13.12,2023-07-01,3
T1,2 - 0,Dplus KIA,WEEK4,13.12,2023-06-30,2
KT Rolster,2 - 0,Nongshim RedForce,WEEK4,13.12,2023-06-30,2
DRX,2 - 1,Liiv SANDBOX,WEEK4,13.12,2023-06-29,3
Gen.G eSports,2 - 0,BRION,WEEK4,13.12,2023-06-29,2
KT Rolster,2 - 0,Kwangdong Freecs,WEEK4,13.12,2023-06-28,2
Hanwha Life eSports,0 - 2,Dplus KIA,WEEK4,13.12,2023-06-28,2
BRION,0 - 2,Hanwha Life eSports,WEEK3,13.11,2023-06-25,2
Nongshim RedForce,1 - 2,DRX,WEEK3,13.11,2023-06-25,3
T1,0 - 2,KT Rolster,WEEK3,13.11,2023-06-24,2
Dplus KIA,1 - 2,Gen.G eSports,WEEK3,13.11,2023-06-24,3
Hanwha Life eSports,2 - 1,Liiv SANDBOX,WEEK3,13.11,2023-06-23,3
Kwangdong Freecs,2 - 0,Nongshim RedForce,WEEK3,13.11,2023-06-23,2
KT Rolster,2 - 0,Dplus KIA,WEEK3,13.11,2023-06-22,2
Gen.G eSports,2 - 0,DRX,WEEK3,13.11,2023-06-22,2
Kwangdong Freecs,0 - 2,T1,WEEK3,13.11,2023-06-21,2
Liiv SANDBOX,2 - 1,BRION,WEEK3,13.11,2023-06-21,3
Dplus KIA,2 - 0,Nongshim RedForce,WEEK2,13.11,2023-06-18,2
Liiv SANDBOX,0 - 2,KT Rolster,WEEK2,13.11,2023-06-18,2
BRION,0 - 2,T1,WEEK2,13.11,2023-06-17,2
Hanwha Life eSports,2 - 0,Kwangdong Freecs,WEEK2,13.11,2023-06-17,2
DRX,0 - 2,KT Rolster,WEEK2,13.11,2023-06-16,2
Nongshim RedForce,0 - 2,Gen.G eSports,WEEK2,13.11,2023-06-16,2
Dplus KIA,1 - 2,BRION,WEEK2,13.11,2023-06-15,3
T1,2 - 0,Liiv SANDBOX,WEEK2,13.11,2023-06-15,2
Gen.G eSports,2 - 0,Kwangdong Freecs,WEEK2,13.11,2023-06-14,2
Hanwha Life eSports,2 - 0,DRX,WEEK2,13.11,2023-06-14,2
Gen.G eSports,2 - 1,T1,WEEK1,13.10,2023-06-11,3
DRX,1 - 2,Dplus KIA,WEEK1,13.10,2023-06-11,3
Kwangdong Freecs,2 - 0,BRION,WEEK1,13.10,2023-06-10,2
Liiv SANDBOX,2 - 0,Nongshim RedForce,WEEK1,13.10,2023-06-10,2
Hanwha Life eSports,1 - 2,T1,WEEK1,13.10,2023-06-09,3
KT Rolster,1 - 2,Gen.G eSports,WEEK1,13.10,2023-06-09,3
BRION,1 - 2,Nongshim RedForce,WEEK1,13.10,2023-06-08,3
Kwangdong Freecs,2 - 0,DRX,WEEK1,13.10,2023-06-08,2
Dplus KIA,2 - 0,Liiv SANDBOX,WEEK1,13.10,2023-06-07,2
KT Rolster,2 - 1,Hanwha Life eSports,WEEK1,13.10,2023-06-07,3
