id,teamPosition,GPM,VSPM,DPM,KP,XPD,TIER
1,ADC,447.2626724,0.576099517,737.3171,45.73251983,10353.7918,IRON
2,JUNGLE,435.3950995,0.753228798,620.4719338,45.24184682,10322.77562,IRON
3,MID,428.6653124,0.601015277,769.7536437,41.38686832,10499.06041,IRON
4,TOP,416.3625795,0.556633804,724.0186493,34.00803179,10545.95469,IRON
5,SUPPORT,316.8204536,1.648431539,446.1288304,46.55056892,10209.38296,IRON
6,ADC,460.8375372,0.643107344,751.6311408,46.7557276,10335.57323,BRONZE
7,JUNGLE,448.7695116,0.845138768,652.1835644,47.7298417,10317.88514,BRONZE
8,MID,439.7191492,0.675476092,783.1011531,41.28276407,10517.77871,BRONZE
9,TOP,428.0629068,0.606542661,746.8645808,34.71851476,10554.71022,BRONZE
10,SUPPORT,312.2413831,1.888223474,425.6559588,47.4552471,10137.99262,BRONZE
11,ADC,467.3048836,0.678724344,766.7176046,47.7267353,10325.94015,SILVER
12,JUNGLE,453.5082698,0.903375525,644.0306514,49.32787139,10309.30686,SILVER
13,MID,445.2997095,0.702211692,796.534525,42.20310904,10470.65832,SILVER
14,TOP,440.5932734,0.604644878,758.0199259,35.72481114,10558.79434,SILVER
15,SUPPORT,314.7119932,1.979352288,418.8638257,49.03010921,10149.27639,SILVER
16,ADC,474.5721849,0.706483154,769.1965992,48.91184027,10344.12733,GOLD
17,JUNGLE,458.490865,0.963440045,651.0056028,51.68203599,10343.70704,GOLD
18,MID,455.3907512,0.750538076,799.0938128,43.62054192,10546.57246,GOLD
19,TOP,438.5986826,0.633102975,733.2559865,36.37030749,10565.13147,GOLD
20,SUPPORT,312.0376971,2.115722847,386.8145996,51.30088758,10095.68841,GOLD
21,ADC,482.1618104,0.740172589,787.7480501,49.62741105,10318.36792,PLATINUM
22,JUNGLE,463.0926334,0.99076628,677.4934299,53.88233022,10341.82809,PLATINUM
23,MID,456.1441835,0.767342182,774.6541547,44.01442629,10478.06709,PLATINUM
24,TOP,440.704752,0.654784721,741.515019,37.10203654,10529.36373,PLATINUM
25,SUPPORT,311.8283862,2.209733449,371.7786614,52.64634217,10109.95807,PLATINUM
26,ADC,487.118065,0.777031702,787.9049693,50.12391581,10354.72936,EMERALD
27,JUNGLE,465.0907268,1.033136314,669.058146,55.15250171,10355.10449,EMERALD
28,MID,459.4614251,0.786466073,783.7926992,44.77653559,10482.70846,EMERALD
29,TOP,447.3617591,0.688501664,741.9605655,37.58293269,10555.0418,EMERALD
30,SUPPORT,309.2870959,2.276596256,353.951028,53.38719728,10087.24765,EMERALD
31,ADC,500.886883,0.804035527,782.1411122,51.14976386,10452.21663,DIAMOND
32,JUNGLE,477.0166129,1.088076817,670.0871305,56.82688148,10389.24846,DIAMOND
33,MID,459.7717762,0.801064994,758.3545244,44.9390108,10462.67351,DIAMOND
34,TOP,446.5224885,0.69500518,717.0430598,36.88359981,10557.32341,DIAMOND
35,SUPPORT,310.0080216,2.330367707,319.2228397,54.97580121,10175.99795,DIAMOND
36,ADC,503.2276761,0.831773786,794.7953213,51.62705008,10462.409,MASTER
37,JUNGLE,472.55967,1.142223552,652.9156146,57.1268878,10406.33845,MASTER
38,MID,468.0678337,0.808637779,765.9617254,46.18479884,10581.58691,MASTER
39,TOP,447.2954661,0.715782801,691.3219311,37.29478071,10460.40593,MASTER
40,SUPPORT,308.6014538,2.437165428,305.1789032,55.93586037,10154.98875,MASTER
41,ADC,509.6495122,0.885798311,793.1957932,52.08685991,10461.2145,GRANDMASTER
42,JUNGLE,474.6110918,1.206170311,654.7834515,59.43755534,10409.7714,GRANDMASTER
43,MID,469.6932318,0.83016378,778.7471459,48.21631535,10541.02417,GRANDMASTER
44,TOP,441.8351848,0.77261389,697.7338936,37.88273142,10517.07956,GRANDMASTER
45,SUPPORT,305.075758,2.509009348,289.9890634,57.18649518,10114.40785,GRANDMASTER
46,ADC,519.7770291,0.983784536,835.2974272,52.2885192,10466.96135,CHALLENGER
47,JUNGLE,470.6314481,1.370062102,638.7203638,60.1560006,10352.73935,CHALLENGER
48,MID,482.9986301,0.888027287,832.0886929,49.58985558,10580.59861,CHALLENGER
49,TOP,443.2506437,0.815439538,727.3915917,39.74038124,10448.40238,CHALLENGER
50,SUPPORT,305.3199395,2.785647081,291.7037049,58.54336354,10041.07631,CHALLENGER
