Player,GOLD%,VS%,DMG%,KP%,XPD@15
Burdol,20.534782608695654,11.582608695652173,22.1,49.30434782608695,-322.04347826086956
Canna,20.8825,12.03,21.8875,51.847500000000004,87.375
Clear,19.58235294117647,10.61875,20.58823529411765,52.6764705882353,88.6875
DnDn,20.869767441860464,13.083720930232559,23.865116279069767,44.80930232558139,-366.25581395348837
Doran,21.56153846153846,11.035897435897436,23.807692307692307,55.333333333333336,147.89743589743588
DuDu,22.18421052631579,11.702631578947368,24.5,59.05263157894737,134.31578947368422
Frog,22.1,10.3,11.3,58.3,-553.0
Kiin,21.427500000000002,12.4075,23.14,57.589999999999996,205.325
Mihile,24.2,11.2,24.5,60.0,553.0
Morgan,22.29111111111111,13.102222222222222,25.068888888888885,52.02888888888889,-60.08888888888889
PerfecT,19.5,12.2,19.2,56.5,744.0
Rascal,21.75813953488372,12.553488372093023,22.68139534883721,53.28604651162791,-169.88372093023256
Zeus,20.354761904761904,11.939024390243903,23.20952380952381,60.976190476190474,154.41463414634146
kingen,20.717073170731705,12.96829268292683,22.907317073170734,53.775609756097566,51.0
