Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Version,Date,Team,Result
Kiin,Gangplank,TOP,16,2,1,8,10,252,4,8.9,13461,475,0.232,32,14,3,5,5,1.13,0.49,0.18,0.11,0.135,15214,10060,2645,2509,537,0.229,0.35,0.526,0,1,0,0,0,732,23,122,0,0,9719,9719,4714,0,8267,0,5,156,13570,42,7,22,0,100,13.14,8/6/2023,KT,Win
Cuzz,Viego,JUNGLE,15,8,2,10,9,182,156,6.4,12952,457,0.223,63,6,20,14,4,2.22,0.21,0.49,0.71,0.266,16015,13084,2333,598,566,0.241,0.64,0.947,0,1,0,0,0,961,-6,197,0,0,2852,2852,14400,0,24001,0,12,198,23779,66,5,24,0,150,13.14,8/6/2023,KT,Win
Bdd,Ahri,MID,15,7,3,10,5.7,219,0,7.7,12578,444,0.217,28,8,6,5,5,0.99,0.28,0.18,0.21,0.118,20944,2269,12940,5735,740,0.316,0.6,0.895,0,1,0,0,0,394,-16,-1353,-1,0,1133,1133,4230,0,10336,0,22,77,16177,114,7,23,100,500,13.14,8/6/2023,KT,Win
Aiming,Tristana,ADC,15,0,2,13,6.5,264,12,9.3,11753,415,0.202,42,13,10,5,5,1.48,0.46,0.18,0.35,0.177,10748,9336,1297,115,380,0.162,0.46,0.684,0,0,0,0,0,-487,17,-170,0,0,7296,7296,3407,0,6309,0,4,53,9404,33,6,23,0,0,13.14,8/6/2023,KT,Win
Lehends,Alistar,SUPPORT,12,2,3,11,4.3,30,0,1.1,7317,258,0.126,72,40,5,14,14,2.54,1.41,0.49,0.18,0.304,3438,157,2751,530,121,0.052,0.46,0.684,0,0,0,0,0,40,1,518,0,0,0,0,3062,1762,16728,77,20,55,11572,49,16,27,0,0,13.14,8/6/2023,KT,Win
Willer,Nocturne,JUNGLE,13,2,3,4,2,164,158,5.8,8619,304,0.192,43,19,6,11,10,1.52,0.67,0.39,0.21,0.203,7734,6688,547,499,273,0.148,0.21,0.545,0,0,0,0,0,-961,6,-197,0,0,0,0,14575,0,22317,0,92,589,26170,41,12,26,0,0,13.14,8/6/2023,LSB,Lose
Clozer,Akali,MID,15,4,2,5,4.5,243,0,8.6,10890,385,0.242,27,9,8,8,7,0.95,0.32,0.28,0.28,0.127,13266,625,12641,0,468,0.254,0.32,0.818,0,0,0,0,0,-394,16,1353,1,0,0,0,2989,0,11234,0,2,82,20203,45,9,25,400,50,13.14,8/6/2023,LSB,Lose
Teddy,Kai'Sa,ADC,13,4,5,5,1.8,234,4,8.3,10852,383,0.242,31,12,5,3,3,1.09,0.42,0.11,0.18,0.146,16613,7470,8912,231,587,0.318,0.32,0.818,0,0,0,0,0,487,-17,170,0,0,0,0,2420,220,9331,0,2,41,14899,147,4,21,200,50,13.14,8/6/2023,LSB,Lose
Kael,Rell,SUPPORT,10,0,6,7,1.2,27,0,1.0,5630,199,0.125,92,49,7,15,15,3.25,1.73,0.53,0.25,0.434,3172,247,2114,811,112,0.061,0.25,0.636,0,0,0,0,0,-40,-1,-518,0,0,0,0,3,0,14626,0,34,96,12309,157,17,29,0,0,13.14,8/6/2023,LSB,Lose
Willer,Wukong,JUNGLE,15,3,4,3,1.5,196,183,5.4,11936,332,0.192,54,21,8,20,19,1.5,0.58,0.56,0.22,0.17,10083,8645,895,543,280,0.127,0.17,0.545,0,0,0,0,0,-228,-5,-361,0,0,0,0,11565,0,23496,0,15,166,28258,127,22,37,450,200,13.14,8/6/2023,LSB,Lose
