,Role,Player,GPM,VSPM,DPM,KP,XPD,Champion
0,ADC,Aiming,1.047645523,0.880427367,0.961306787,1.0295138,1.05071308,Kai'Sa
1,ADC,Deft,0.984999759,0.977871195,1.141763414,1.001985937,0.979615326,Aphelios
2,ADC,Gumayusi,1.04635595,1.065802747,1.018033555,1.018444133,1.055948121,Kai'Sa
3,ADC,Hena,0.925445835,0.976623958,0.947659654,1.005964264,0.955950799,Aphelios
4,ADC,Jiwoo,0.987828597,0.969773461,0.952511991,1.0176551,0.978304877,Xayah
5,ADC,Paduck,0.958198308,0.939267342,0.956987155,1.005831936,0.831580076,Xayah
6,ADC,Peyz,1.018446942,0.95793227,0.994652435,0.991204007,0.970704386,Kai'Sa
7,ADC,Taeyoon,0.963576079,1.025647826,0.945299176,0.958694622,0.971230272,Kai'Sa
8,ADC,Teddy,0.968166452,1.16833083,0.979477934,1.001315545,1.029236453,Kai'Sa
9,ADC,Viper,0.993649905,1.145079578,1.023569629,0.957973533,1.075485735,Aphelios
10,JUNGLE,Canyon,1.012169232,0.945471543,1.084149499,0.997857416,1.182665213,Lee Sin
11,JUNGLE,Croco,0.969128356,1.034072336,1.083982424,1.123365678,0.83093376,Maokai
12,JUNGLE,Cuzz,1.003547016,1.019661153,0.970666281,1.046786217,1.003631733,Viego
13,JUNGLE,Grizzly,1.00038773,0.802758858,1.019314582,0.979736523,1.002232387,Maokai
14,JUNGLE,Oner,1.020449193,0.976307677,1.041258967,1.015273231,0.952773079,Maokai
15,JUNGLE,Peanut,1.025987815,0.99976926,1.053418146,0.943705504,1.05109099,Maokai
16,JUNGLE,Sylvie,0.992562424,1.252303818,0.865191321,0.844988093,0.922669925,Sejuani
17,JUNGLE,UmTi,0.96208666,0.986858222,0.896591134,1.081309096,0.978669213,Poppy
18,JUNGLE,Willer,1.002994141,1.067223303,0.894435867,1.021125476,0.975429151,Sejuani
19,JUNGLE,YoungJae,0.922700902,1.030207201,0.98881652,0.971757732,0.795315817,Sejuani
20,MID,Bdd,0.9502933,0.885911329,0.916880967,1.010423014,0.936532808,Azir
21,MID,Bulldog,0.997675906,1.024901882,1.029827493,1.032283128,0.963400235,Azir
22,MID,Chovy,0.99242823,1.156492791,0.974622165,0.950741816,1.062855374,Annie
23,MID,Clozer,1.038497404,0.929445334,1.002793423,1.034456355,1.033773419,Azir
24,MID,FATE,1.017731198,1.035207582,1.094905685,1.05763745,0.994503343,Tristana
25,MID,FIESTA,0.967143971,0.978526231,1.112945629,1.100377594,0.939311111,Azir
26,MID,Faker,0.983968229,0.857494876,0.966275688,0.916079368,0.99817868,Azir
27,MID,Karis,1.007441636,0.932021759,0.876927342,1.074298862,0.916347519,Azir
28,MID,ShowMaker,1.001267899,0.999330864,1.077679865,0.954046933,1.014282504,Annie
29,MID,Zeka,1.063296287,1.089255254,1.034784027,1.009450822,1.055132594,Azir
30,SUPPORT,BeryL,0.975506025,1.091024408,1.188911046,0.957359851,0.942766952,Rell
31,SUPPORT,Delight,1.015802315,0.973826026,1.01670109,0.95719204,1.075247174,Rakan
32,SUPPORT,Effort,0.971204556,1.115235126,0.756399117,1.064948863,0.986705916,Milio
33,SUPPORT,Kael,0.99077704,1.075346554,0.862153693,0.987174213,0.835053154,Rell
34,SUPPORT,Kellin,1.014363162,0.954549977,1.16531497,1.038328497,0.916295705,Milio
35,SUPPORT,Keria,1.049348291,0.976506315,1.190645762,1.070472231,1.117655192,Rakan
36,SUPPORT,Lehends,0.981333184,0.949560882,0.900011311,0.959008344,1.043854733,Nautilus
37,SUPPORT,Life,1.004777691,0.959062,0.990084594,0.987472543,0.960927619,Rell
38,SUPPORT,Peter,0.974491237,1.060716527,0.905376014,1.066966033,0.932230433,Rakan
39,TOP,Burdol,1.002513814,0.967199559,1.01327927,1.04953778,0.854728527,Jax
40,TOP,Canna,0.965633671,0.973263506,0.984465281,0.923429973,1.012994711,Jax
41,TOP,DnDn,0.947791839,1.157280977,0.973230925,1.035568034,0.906718066,K'Sante
42,TOP,Doran,1.049543334,0.910444804,1.030404207,0.992696172,1.030493864,Jax
43,TOP,DuDu,1.032096189,0.9969129,1.299503294,1.124185582,1.106823164,K'Sante
44,TOP,Kiin,1.000649379,0.950523705,0.922298083,1.036816213,1.002649797,Renekton
45,TOP,Morgan,1.017539782,1.063009923,0.986396351,1.082765505,1.0048088,Renekton
46,TOP,Rascal,1.022029964,1.044325386,0.909123163,0.965143657,0.960626877,Jax
47,TOP,Zeus,0.98250155,0.918687982,1.050901455,1.037588894,1.025602406,Gragas
48,TOP,kingen,0.974514035,1.126883499,0.996452103,0.901668041,0.98735111,Renekton
